Ctgry,Itm,Srvng_Sz,Clrs,Clrs_frm_Ft,Ttl_Ft,Ttl_Ft_PrDV,Strtd_Ft,Strtd_Ft_PrDV,Trns_Ft,Chlstrl,Chlstrl_PrDV,Sdm,Sdm_PrDV,Crbhydrts,Crbhydrts_PrDV,Dtry_Fbr,Dtry_Fbr_PrDV,Sgrs,Prtn,Vtmn_A_PrDV,Vtmn_C_PrDV,Clcm_PrDV,Irn_PrDV,Srvng_mag,Srvng_unit,Cnt
Breakfast,Egg McMuffin,4.8 oz (136 g),300,120,13.0,20,5.0,25,0.0,0.26,87,0.75,31,31,10,4,17,3,17,10,0,25,15,136.0,g,1
Breakfast,Egg White Delight,4.8 oz (135 g),250,70,8.0,12,3.0,15,0.0,0.025,8,0.77,32,30,10,4,17,3,18,6,0,25,8,135.0,g,1
Breakfast,Sausage McMuffin,3.9 oz (111 g),370,200,23.0,35,8.0,42,0.0,0.045,15,0.78,33,29,10,4,17,2,14,8,0,25,10,111.0,g,1
Breakfast,Sausage McMuffin with Egg,5.7 oz (161 g),450,250,28.0,43,10.0,52,0.0,0.285,95,0.86,36,30,10,4,17,2,21,15,0,30,15,161.0,g,1
Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),400,210,23.0,35,8.0,42,0.0,0.05,16,0.88,37,30,10,4,17,2,21,6,0,25,10,161.0,g,1
Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),430,210,23.0,36,9.0,46,1.0,0.3,100,0.96,40,31,10,4,18,3,26,15,2,30,20,185.0,g,1
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),460,230,26.0,40,13.0,65,0.0,0.25,83,1.3,54,38,13,2,7,3,19,10,8,15,15,150.0,g,1
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),520,270,30.0,47,14.0,68,0.0,0.25,83,1.41,59,43,14,3,12,4,19,15,8,20,20,164.0,g,1
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),410,180,20.0,32,11.0,56,0.0,0.035,11,1.3,54,36,12,2,7,3,20,2,8,15,10,153.0,g,1
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),470,220,25.0,38,12.0,59,0.0,0.035,11,1.42,59,42,14,3,12,4,20,6,8,15,15,167.0,g,1
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430,240,27.0,42,12.0,62,0.0,0.03,10,1.08,45,34,11,2,6,2,11,0,0,6,15,117.0,g,1
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),480,280,31.0,48,13.0,65,0.0,0.03,10,1.19,50,39,13,3,11,3,11,4,0,8,15,131.0,g,1
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),510,290,33.0,50,14.0,71,0.0,0.25,83,1.17,49,36,12,2,6,2,18,6,0,10,20,163.0,g,1
Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),570,330,37.0,57,15.0,74,0.0,0.25,83,1.28,53,42,14,3,11,3,18,10,0,10,20,177.0,g,1
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),460,250,27.0,42,12.0,62,0.0,0.035,11,1.18,49,34,11,2,6,3,18,0,0,8,15,167.0,g,1
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),520,280,32.0,49,13.0,65,0.0,0.035,11,1.29,54,40,13,3,11,3,18,4,0,8,15,181.0,g,1
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),410,180,20.0,31,8.0,41,0.0,0.03,10,1.18,49,41,14,2,6,3,17,0,2,6,15,143.0,g,1
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),470,220,24.0,37,9.0,45,0.0,0.03,10,1.29,54,46,15,3,11,4,17,4,2,8,15,157.0,g,1
Breakfast,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),540,290,32.0,49,16.0,78,1.0,0.28,93,1.47,61,38,13,2,8,3,25,10,2,20,25,201.0,g,1
Breakfast,"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g),460,190,21.0,32,9.0,44,0.0,0.25,84,1.25,52,48,16,2,9,15,19,10,10,20,15,174.0,g,1
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),400,140,15.0,24,7.0,34,0.0,0.035,11,1.25,52,47,16,2,9,16,20,2,10,15,10,178.0,g,1
Breakfast,Sausage McGriddles,5 oz (141 g),420,200,22.0,34,8.0,40,0.0,0.035,11,1.03,43,44,15,2,8,15,11,0,0,8,10,141.0,g,1
Breakfast,"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g),550,280,31.0,48,12.0,61,0.0,0.265,89,1.32,55,48,16,2,9,15,20,10,0,20,15,201.0,g,1
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),500,230,26.0,40,10.0,52,0.0,0.05,17,1.32,55,46,15,2,9,15,21,2,0,20,10,205.0,g,1
Breakfast,"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),620,280,31.0,48,11.0,56,0.5,0.275,92,1.48,62,57,19,3,11,7,30,20,15,20,20,197.0,g,1
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),570,230,25.0,39,9.0,45,0.5,0.06,20,1.48,62,55,18,3,12,8,30,10,15,20,15,201.0,g,1
Breakfast,"Steak, Egg & Cheese Bagel",8.5 oz (241 g),670,310,35.0,53,13.0,63,1.5,0.295,99,1.51,63,56,19,3,12,7,33,20,4,25,25,241.0,g,1
Breakfast,Big Breakfast (Regular Biscuit),9.5 oz (269 g),740,430,48.0,73,17.0,87,0.0,0.555,185,1.56,65,51,17,3,12,3,28,15,2,15,25,269.0,g,1
Breakfast,Big Breakfast (Large Biscuit),10 oz (283 g),800,470,52.0,80,18.0,90,0.0,0.555,185,1.68,70,56,19,4,17,3,28,15,2,15,30,283.0,g,1
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),640,330,37.0,57,14.0,69,0.0,0.035,12,1.59,66,50,17,3,12,3,26,0,2,10,15,272.0,g,1
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),690,370,41.0,63,14.0,72,0.0,0.035,12,1.7,71,55,18,4,17,4,26,4,2,10,15,286.0,g,1
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),14.8 oz (420 g),1090,510,56.0,87,19.0,96,0.0,0.575,192,2.15,90,111,37,6,23,17,36,15,2,25,40,420.0,g,1
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),15.3 oz (434 g),1150,540,60.0,93,20.0,100,0.0,0.575,192,2.26,94,116,39,7,28,17,36,15,2,30,40,434.0,g,1
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),14.9 oz (423 g),990,410,46.0,70,16.0,78,0.0,0.055,19,2.17,91,110,37,6,23,17,35,0,2,25,30,423.0,g,1
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),15.4 oz (437 g),1050,450,50.0,77,16.0,81,0.0,0.055,19,2.29,95,115,38,7,28,18,35,4,2,25,30,437.0,g,1
Breakfast,Hotcakes,5.3 oz (151 g),350,80,9.0,13,2.0,9,0.0,0.02,7,0.59,24,60,20,3,10,14,8,0,0,15,15,151.0,g,1
Breakfast,Hotcakes and Sausage,6.8 oz (192 g),520,210,24.0,37,7.0,36,0.0,0.05,17,0.93,39,61,20,3,10,14,15,0,0,15,15,192.0,g,1
Breakfast,Sausage Burrito,3.9 oz (111 g),300,150,16.0,25,7.0,33,0.0,0.115,38,0.79,33,26,9,1,5,2,12,10,2,15,15,111.0,g,1
Breakfast,Hash Brown,2 oz (56 g),150,80,9.0,14,1.5,6,0.0,0.0,0,0.31,13,15,5,2,6,0,1,0,2,0,2,56.0,g,1
Breakfast,Cinnamon Melts,4 oz (114 g),460,170,19.0,30,9.0,43,0.0,0.015,5,0.37,15,66,22,3,11,32,6,4,0,6,15,114.0,g,1
Breakfast,Fruit & Maple Oatmeal,9.6 oz (251 g),290,35,4.0,6,1.5,8,0.0,0.005,2,0.16,7,58,19,5,19,32,5,2,130,10,10,251.0,g,1
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,9.6 oz (251 g),260,40,4.0,6,1.5,8,0.0,0.005,2,0.115,5,49,16,5,22,18,5,2,130,6,10,251.0,g,1
Beef & Pork,Big Mac,7.4 oz (211 g),530,240,27.0,42,10.0,48,1.0,0.085,28,0.96,40,47,16,3,13,9,24,6,2,25,25,211.0,g,1
Beef & Pork,Quarter Pounder with Cheese,7.1 oz (202 g),520,240,26.0,41,12.0,61,1.5,0.095,31,1.1,46,41,14,3,11,10,30,10,2,30,25,202.0,g,1
Beef & Pork,Quarter Pounder with Bacon & Cheese,8 oz (227 g),600,260,29.0,45,13.0,63,1.5,0.105,34,1.44,60,48,16,3,12,12,37,6,15,25,30,227.0,g,1
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,8.3 oz (235 g),610,280,31.0,48,13.0,64,1.5,0.105,35,1.18,49,46,15,3,14,10,37,8,20,25,30,235.0,g,1
Beef & Pork,Quarter Pounder Deluxe,8.6 oz (244 g),540,250,27.0,42,11.0,54,1.5,0.085,28,0.96,40,45,15,3,13,9,29,10,8,25,30,244.0,g,1
Beef & Pork,Double Quarter Pounder with Cheese,10 oz (283 g),750,380,43.0,66,19.0,96,2.5,0.16,53,1.28,53,42,14,3,11,10,48,10,2,30,35,283.0,g,1
Beef & Pork,Hamburger,3.5 oz (98 g),240,70,8.0,12,3.0,15,0.0,0.03,10,0.48,20,32,11,1,6,6,12,2,2,10,15,98.0,g,1
Beef & Pork,Cheeseburger,4 oz (113 g),290,100,11.0,18,5.0,27,0.5,0.045,15,0.68,28,33,11,2,7,7,15,6,2,20,15,113.0,g,1
Beef & Pork,Double Cheeseburger,5.7 oz (161 g),430,190,21.0,32,10.0,52,1.0,0.09,30,1.04,43,35,12,2,8,7,24,10,2,30,20,161.0,g,1
Beef & Pork,Bacon Clubhouse Burger,9.5 oz (270 g),720,360,40.0,62,15.0,75,1.5,0.115,38,1.47,61,51,17,4,14,14,39,8,25,30,25,270.0,g,1
Beef & Pork,McDouble,5.2 oz (147 g),380,150,17.0,26,8.0,40,1.0,0.075,25,0.84,35,34,11,2,7,7,22,6,2,20,20,147.0,g,1
Beef & Pork,Bacon McDouble,5.7 oz (161 g),440,200,22.0,34,10.0,49,1.0,0.09,30,1.11,46,35,12,2,7,7,27,6,10,20,20,161.0,g,1
Beef & Pork,Daily Double,6.7 oz (190 g),430,200,22.0,35,9.0,44,1.0,0.08,27,0.76,32,34,11,2,8,7,22,8,8,20,20,190.0,g,1
Beef & Pork,Jalapeño Double,5.6 oz (159 g),430,210,23.0,36,9.0,44,1.0,0.08,27,1.03,43,35,12,2,7,6,22,6,8,20,20,159.0,g,1
Beef & Pork,McRib,7.3 oz (208 g),500,240,26.0,40,10.0,48,0.0,0.07,23,0.98,41,44,15,3,10,11,22,2,2,15,20,208.0,g,1
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),510,200,22.0,33,3.5,18,0.0,0.045,16,0.99,41,55,18,3,13,10,24,4,6,15,20,213.0,g,1
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),350,80,9.0,13,2.0,9,0.0,0.065,22,0.82,34,42,14,3,13,8,28,4,8,15,20,200.0,g,1
Chicken & Fish,Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),670,300,33.0,51,9.0,44,0.0,0.085,29,1.41,59,58,19,3,14,11,36,8,20,30,20,249.0,g,1
Chicken & Fish,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),510,180,20.0,31,7.0,36,0.0,0.105,35,1.25,52,44,15,3,13,9,40,8,20,30,20,235.0,g,1
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),610,250,28.0,43,6.0,31,0.0,0.07,24,1.4,58,57,19,3,13,11,32,4,20,15,20,230.0,g,1
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),450,130,15.0,23,4.5,22,0.0,0.09,30,1.23,51,43,14,3,13,9,36,4,20,15,20,217.0,g,1
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),750,340,38.0,59,10.0,51,0.5,0.09,31,1.72,72,65,22,4,15,16,36,8,25,30,15,284.0,g,1
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),590,230,25.0,39,8.0,42,0.0,0.11,37,1.56,65,51,17,4,15,14,40,8,30,30,15,270.0,g,1
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430,170,19.0,29,3.0,15,0.0,0.045,14,0.91,38,43,14,2,7,7,21,4,2,15,15,160.0,g,1
Chicken & Fish,McChicken,5.1 oz (143 g),360,140,16.0,25,3.0,15,0.0,0.035,11,0.8,33,40,13,2,7,5,14,0,2,10,15,143.0,g,1
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),480,220,24.0,38,7.0,35,0.0,0.065,21,1.26,53,43,14,2,8,6,22,4,10,20,15,171.0,g,1
