Ctgry,Itm,Srvng_unit,Srvng_mag,Ttl_Ft_PrDV,Strtd_Ft_PrDV,Chlstrl_PrDV,Sdm_PrDV,Crbhydrts_PrDV,Dtry_Fbr_PrDV,Vtmn_A_PrDV,Vtmn_C_PrDV,Clcm_PrDV,Irn_PrDV
Breakfast,Egg McMuffin,g,136.0,20,25,87,31,10,17,10,0,25,15
Breakfast,Egg White Delight,g,135.0,12,15,8,32,10,17,6,0,25,8
Breakfast,Sausage McMuffin,g,111.0,35,42,15,33,10,17,8,0,25,10
Breakfast,Sausage McMuffin with Egg,g,161.0,43,52,95,36,10,17,15,0,30,15
Breakfast,Sausage McMuffin with Egg Whites,g,161.0,35,42,16,37,10,17,6,0,25,10
Breakfast,Steak & Egg McMuffin,g,185.0,36,46,100,40,10,18,15,2,30,20
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",g,150.0,40,65,83,54,13,7,10,8,15,15
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",g,164.0,47,68,83,59,14,12,15,8,20,20
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",g,153.0,32,56,11,54,12,7,2,8,15,10
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",g,167.0,38,59,11,59,14,12,6,8,15,15
Breakfast,Sausage Biscuit (Regular Biscuit),g,117.0,42,62,10,45,11,6,0,0,6,15
Breakfast,Sausage Biscuit (Large Biscuit),g,131.0,48,65,10,50,13,11,4,0,8,15
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),g,163.0,50,71,83,49,12,6,6,0,10,20
Breakfast,Sausage Biscuit with Egg (Large Biscuit),g,177.0,57,74,83,53,14,11,10,0,10,20
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),g,167.0,42,62,11,49,11,6,0,0,8,15
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),g,181.0,49,65,11,54,13,11,4,0,8,15
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),g,143.0,31,41,10,49,14,6,0,2,6,15
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),g,157.0,37,45,10,54,15,11,4,2,8,15
Breakfast,Steak & Egg Biscuit (Regular Biscuit),g,201.0,49,78,93,61,13,8,10,2,20,25
Breakfast,"Bacon, Egg & Cheese McGriddles",g,174.0,32,44,84,52,16,9,10,10,20,15
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",g,178.0,24,34,11,52,16,9,2,10,15,10
Breakfast,Sausage McGriddles,g,141.0,34,40,11,43,15,8,0,0,8,10
Breakfast,"Sausage, Egg & Cheese McGriddles",g,201.0,48,61,89,55,16,9,10,0,20,15
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",g,205.0,40,52,17,55,15,9,2,0,20,10
Breakfast,"Bacon, Egg & Cheese Bagel",g,197.0,48,56,92,62,19,11,20,15,20,20
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",g,201.0,39,45,20,62,18,12,10,15,20,15
Breakfast,"Steak, Egg & Cheese Bagel",g,241.0,53,63,99,63,19,12,20,4,25,25
Breakfast,Big Breakfast (Regular Biscuit),g,269.0,73,87,185,65,17,12,15,2,15,25
Breakfast,Big Breakfast (Large Biscuit),g,283.0,80,90,185,70,19,17,15,2,15,30
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),g,272.0,57,69,12,66,17,12,0,2,10,15
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),g,286.0,63,72,12,71,18,17,4,2,10,15
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),g,420.0,87,96,192,90,37,23,15,2,25,40
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),g,434.0,93,100,192,94,39,28,15,2,30,40
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),g,423.0,70,78,19,91,37,23,0,2,25,30
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),g,437.0,77,81,19,95,38,28,4,2,25,30
Breakfast,Hotcakes,g,151.0,13,9,7,24,20,10,0,0,15,15
Breakfast,Hotcakes and Sausage,g,192.0,37,36,17,39,20,10,0,0,15,15
Breakfast,Sausage Burrito,g,111.0,25,33,38,33,9,5,10,2,15,15
Breakfast,Hash Brown,g,56.0,14,6,0,13,5,6,0,2,0,2
Breakfast,Cinnamon Melts,g,114.0,30,43,5,15,22,11,4,0,6,15
Breakfast,Fruit & Maple Oatmeal,g,251.0,6,8,2,7,19,19,2,130,10,10
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,g,251.0,6,8,2,5,16,22,2,130,6,10
Beef & Pork,Big Mac,g,211.0,42,48,28,40,16,13,6,2,25,25
Beef & Pork,Quarter Pounder with Cheese,g,202.0,41,61,31,46,14,11,10,2,30,25
Beef & Pork,Quarter Pounder with Bacon & Cheese,g,227.0,45,63,34,60,16,12,6,15,25,30
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,g,235.0,48,64,35,49,15,14,8,20,25,30
Beef & Pork,Quarter Pounder Deluxe,g,244.0,42,54,28,40,15,13,10,8,25,30
Beef & Pork,Double Quarter Pounder with Cheese,g,283.0,66,96,53,53,14,11,10,2,30,35
Beef & Pork,Hamburger,g,98.0,12,15,10,20,11,6,2,2,10,15
Beef & Pork,Cheeseburger,g,113.0,18,27,15,28,11,7,6,2,20,15
Beef & Pork,Double Cheeseburger,g,161.0,32,52,30,43,12,8,10,2,30,20
Beef & Pork,Bacon Clubhouse Burger,g,270.0,62,75,38,61,17,14,8,25,30,25
Beef & Pork,McDouble,g,147.0,26,40,25,35,11,7,6,2,20,20
Beef & Pork,Bacon McDouble,g,161.0,34,49,30,46,12,7,6,10,20,20
Beef & Pork,Daily Double,g,190.0,35,44,27,32,11,8,8,8,20,20
Beef & Pork,Jalapeño Double,g,159.0,36,44,27,43,12,7,6,8,20,20
Beef & Pork,McRib,g,208.0,40,48,23,41,15,10,2,2,15,20
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,g,213.0,33,18,16,41,18,13,4,6,15,20
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,g,200.0,13,9,22,34,14,13,4,8,15,20
Chicken & Fish,Premium Crispy Chicken Club Sandwich,g,249.0,51,44,29,59,19,14,8,20,30,20
Chicken & Fish,Premium Grilled Chicken Club Sandwich,g,235.0,31,36,35,52,15,13,8,20,30,20
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,g,230.0,43,31,24,58,19,13,4,20,15,20
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,g,217.0,23,22,30,51,14,13,4,20,15,20
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,g,284.0,59,51,31,72,22,15,8,25,30,15
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,g,270.0,39,42,37,65,17,15,8,30,30,15
Chicken & Fish,Southern Style Crispy Chicken Sandwich,g,160.0,29,15,14,38,14,7,4,2,15,15
Chicken & Fish,McChicken,g,143.0,25,15,11,33,13,7,0,2,10,15
Chicken & Fish,Bacon Cheddar McChicken,g,171.0,38,35,21,53,14,8,4,10,20,15
Chicken & Fish,Bacon Buffalo Ranch McChicken,g,161.0,32,25,17,53,14,7,2,10,15,15
Chicken & Fish,Buffalo Ranch McChicken,g,148.0,25,16,11,41,13,7,2,2,15,15
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),g,316.0,49,45,26,64,19,13,60,20,20,20
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),g,302.0,28,36,32,57,14,13,60,25,20,20
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),g,310.0,47,40,21,56,19,14,60,15,20,20
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),g,297.0,27,31,27,49,14,14,60,15,15,20
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),g,314.0,51,40,21,62,23,19,60,15,20,20
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),g,318.0,31,32,27,55,18,20,70,15,20,20
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),g,304.0,35,23,16,52,20,13,60,15,8,20
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),g,291.0,15,14,22,45,16,13,60,15,8,20
Chicken & Fish,Chicken McNuggets (4 piece),g,65.0,18,10,9,15,4,2,0,2,0,2
Chicken & Fish,Chicken McNuggets (6 piece),g,97.0,27,15,13,22,6,4,0,2,2,4
Chicken & Fish,Chicken McNuggets (10 piece),g,162.0,45,25,22,37,10,6,0,4,2,6
Chicken & Fish,Chicken McNuggets (20 piece),g,323.0,91,50,44,75,20,12,0,8,4,10
Chicken & Fish,Chicken McNuggets (40 piece),g,646.0,182,101,89,150,39,24,0,15,8,25
Chicken & Fish,Filet-O-Fish,g,142.0,29,19,14,24,13,7,2,0,15,10
Salads,Premium Bacon Ranch Salad (without Chicken),g,223.0,11,18,9,13,3,12,170,30,15,6
Salads,Premium Bacon Ranch Salad with Crispy Chicken,g,255.0,33,29,23,36,7,10,100,25,15,8
Salads,Premium Bacon Ranch Salad with Grilled Chicken,g,241.0,13,20,29,29,3,10,110,30,15,8
Salads,Premium Southwest Salad (without Chicken),g,230.0,7,9,3,6,7,23,160,25,15,10
Salads,Premium Southwest Salad with Crispy Chicken,g,348.0,33,22,17,35,14,28,170,30,15,15
Salads,Premium Southwest Salad with Grilled Chicken,g,335.0,13,13,23,28,9,28,170,30,15,15
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),g,130.0,23,22,11,33,12,6,4,0,10,10
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),g,123.0,13,18,14,29,10,6,4,2,10,10
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),g,123.0,23,22,11,30,11,5,2,0,10,10
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),g,116.0,13,18,14,27,9,5,2,2,10,10
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),g,128.0,30,27,13,34,11,5,2,0,10,10
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),g,121.0,20,22,16,30,8,5,2,2,10,10
Snacks & Sides,Small French Fries,g,75.0,17,8,0,5,10,10,0,30,0,4
Snacks & Sides,Medium French Fries,g,111.0,24,11,0,8,15,14,0,45,2,4
Snacks & Sides,Large French Fries,g,168.0,37,17,0,12,22,22,0,70,2,8
Snacks & Sides,Kids French Fries,g,38.0,8,4,0,3,5,5,0,15,0,2
Snacks & Sides,Side Salad,g,87.0,0,0,0,0,1,6,45,25,2,4
Snacks & Sides,Apple Slices,g,34.0,0,0,0,0,1,0,0,160,2,0
Snacks & Sides,Fruit 'n Yogurt Parfait,g,149.0,3,5,2,3,10,3,2,15,10,4
Desserts,Baked Apple Pie,g,77.0,19,35,0,7,11,15,4,25,2,6
Desserts,Chocolate Chip Cookie,g,33.0,12,19,3,4,7,3,2,0,2,8
Desserts,Oatmeal Raisin Cookie,g,33.0,9,13,3,6,7,3,2,0,2,6
Desserts,Kids Ice Cream Cone,g,29.0,2,4,2,1,2,0,2,0,4,0
Desserts,Hot Fudge Sundae,g,179.0,14,34,8,7,18,3,8,0,25,8
Desserts,Hot Caramel Sundae,g,182.0,12,24,10,6,20,0,10,0,25,0
Desserts,Strawberry Sundae,g,178.0,10,20,8,4,16,0,8,4,20,0
Beverages,Coca-Cola Classic (Small),ml,473.184,0,0,0,0,13,0,0,0,0,0
Beverages,Coca-Cola Classic (Medium),ml,621.0540000000001,0,0,0,0,18,0,0,0,0,0
Beverages,Coca-Cola Classic (Large),ml,887.22,0,0,0,0,25,0,0,0,0,0
Beverages,Coca-Cola Classic (Child),ml,354.88800000000003,0,0,0,0,9,0,0,0,0,0
Beverages,Diet Coke (Small),ml,473.184,0,0,0,0,0,0,0,0,0,0
Beverages,Diet Coke (Medium),ml,621.0540000000001,0,0,0,1,0,0,0,0,0,0
Beverages,Diet Coke (Large),ml,887.22,0,0,0,1,0,0,0,0,0,0
Beverages,Diet Coke (Child),ml,354.88800000000003,0,0,0,1,0,0,0,0,0,0
Beverages,Dr Pepper (Small),ml,473.184,0,0,0,2,12,0,0,0,0,0
Beverages,Dr Pepper (Medium),ml,621.0540000000001,0,0,0,3,18,0,0,0,0,0
Beverages,Dr Pepper (Large),ml,887.22,0,0,0,4,24,0,0,0,0,0
Beverages,Dr Pepper (Child),ml,354.88800000000003,0,0,0,1,9,0,0,0,0,0
Beverages,Diet Dr Pepper (Small),ml,473.184,0,0,0,3,0,0,0,0,0,0
Beverages,Diet Dr Pepper (Medium),ml,621.0540000000001,0,0,0,4,0,0,0,0,0,0
